Año,Pob
1821,6.633468
1822,6.679785
1823,6.724206
1824,6.747283
1825,6.774055
1826,6.809143
1827,6.840903
1828,6.876089
1829,6.913909
1830,6.941499
1831,6.975022
1832,7
1838,7.04414
1842,7.015509
1857,8.287413
1858,8.604
1861,8.1744
1862,8.446508
1865,8.2
1869,9.389461
1876,9.883748
1877,10.123686
1878,10.225543
1879,10.338286
1880,10.518147
1881,10.631216
1882,10.770857
1883,10.924567
1884,11.02348
1885,11.136413
1886,11.316042
1887,11.457232
1888,11.617169
1889,11.739128
1890,11.916719
1891,12.03629
1892,12.234844
1893,12.439721
1894,12.610462
1895,12.748136
1896,12.944566
1897,13.142805
1898,13.339858
1899,13.542443
1900,13.6
1901,13.798214
1902,14.034358
1903,14.218985
1904,14.342693
1905,14.517723
1906,14.643167
1907,14.834158
1908,15.015777
1909,15.1
1910,15.2
1911,15.11
1912,15.115
1913,15.113
1914,15.115
1915,15.116
1916,15.117
1917,15.118
1918,15.119
1919,15.12
1920,15.125
1921,15.126
1922,15.127573
1923,15.541929
1924,15.842211
1925,16.056485
1926,16.331744
1927,16.550891
1928,16.852334
1929,17.151563
1930,17.463298
1931,17.751065
1932,18.051217
1933,18.372046
1934,18.74902
1935,19.040759
1936,19.330812
1937,19.645363
1938,19.975051
1939,20.383164
1940,20.869496
1941,21.300273
1942,21.902084
1943,22.470274
1944,23.212836
1945,24.054912
1946,24.807799
1947,25.589179
1948,26.427458
1949,27.300517
1950,27.361499
1951,27.450508
1952,29.11
1953,30.904
1954,31.88
1955,32.906
1956,33.978
1957,35.095
1958,36.253
1959,37.448
1960,38.667
1961,38.97
1962,40.2
1963,41.46
1964,42.77
1965,44.12
1966,45.52
1967,46.96
1968,48.43
1969,49.95
1970,51.49
1971,53.08
1972,54.69
1973,56.32
1974,57.97
1975,59.61
1976,61.24
1977,62.87
1978,64.49
1979,66.12
1980,67.76
1981,69.41
1982,71.06
1983,72.71
1984,74.35
1985,75.98
1986,77.6
1987,79.2
1988,80.79
1989,82.37
1990,83.94
1991,85.51
1992,87.08
1993,88.63
1994,90.16
1995,91.66
1996,93.15
1997,94.61
1998,96.06
1999,97.48
2000,98.9
2001,100.3
2002,101.68
2003,103.08
2004,104.51
2005,106.01
2006,107.56
2007,109.17
2008,110.82
2009,112.46
2010,114.09
2011,115.7
2012,117.27
2013,118.83
2014,120.36
2015,121.86
2016,123.33
2017,124.78
2018,126.19
2019,127.58
2020,128.93
2021,130.26
2022,131.753424
2023,133.026752
2024,134.22895
2025,135.329876
2026,136.500294
2027,137.82567
2028,138.882313
2029,139.902205
2030,140.910298
2031,141.923022
2032,143.029426
2033,143.994245
2034,144.926237
2035,145.82297
2036,146.71148
2037,147.490755
2038,148.323605
2039,149.069443
2040,149.774484
2041,150.49113
2042,151.18424
2043,151.871398
2044,152.404991
2045,152.92763
2046,153.414417
2047,153.931996
2048,154.354589
2049,154.789308
2050,155.166262
2051,155.505342
2052,155.832971
2053,156.09294
2054,156.345597
2055,156.559897
2056,156.746817
2057,156.886458
2058,157.009851
2059,157.098629
2060,157.157421
2061,157.191183
2062,157.196035
2063,157.176956
2064,157.12474
2065,157.055824
2066,156.956102
2067,156.812721
2068,156.665374
2069,156.506065
2070,156.30462
2071,156.089703
2072,155.802263
2073,155.569033
2074,155.271011
2075,154.957925
2076,154.623884
2077,154.26918
2078,153.871773
2079,153.506566
2080,153.075077
2081,152.641992
2082,152.152448
2083,151.701681
2084,151.211782
2085,150.681164
2086,150.132528
2087,149.585404
2088,149.074146
2089,148.452942
2090,147.909889
2091,147.240517
2092,146.674908
2093,146.065028
2094,145.40293
2095,144.810683
2096,144.145948
2097,143.481437
2098,142.788812
2099,142.046578
2100,141.509942
